category,name,icon
preparation,掃除道具があるかを|確認しよう！,bucket.png
preparation,掃除用洗剤の在庫を|確認しよう！,spray.png
preparation,照明をつけて|明るくしよう！,light.png
preparation,部屋の換気をしよう！,ventilation.png
preparation,カーテンを開けて|束ねよう！,curtain.png
preparation,音楽をかけて|気分を盛り上げよう！,music.png
preparation,袖まくりして|やる気を出そう！,gloves.png
preparation,掃除後のきれいな状態を|想像しよう！,image_kr.png
preparation,タイマーを5分に|セットしよう！,timer.png
organization,床にあるものを|1つ拾おう！,building_blocks.png
organization,テーブルの上のものを|1つ片付けよう！,table.png
organization,飛び出ているものを|引っ込めよう！,hammer.png
organization,斜めになっているものを|まっすぐに整えよう！,arrange.png
organization,明らかなゴミを|1つ捨てよう！,trash.png
organization,空のペットボトルを|1つ捨てよう！,bottle.png
organization,溜まっている紙ごみを|1つ捨てよう！,document.png
organization,出しっぱなしのものを|1つ片付けよう！,case.png
organization,未開封の郵便物を|開封しよう！,mail.png
organization,空いている蓋を|閉めよう！,futa.png
organization,本や雑誌を|一か所にまとめよう！,book.png
organization,洗濯物を|洗濯カゴに入れよう！,basket.png
organization,捨て方が分からない物の|捨て方を調べよう！,investigate.png
action,掃除道具を|1つ手にしよう！,tools_2.png
action,ほこりをとる道具を|手に持とう！,duster.png
action,掃除機をかけるために|掃除機を出そう！,bacuum.png
action,拭き掃除をするために|布巾を手に持とう！,cloth_kr.png
action,掃き掃除をするために|ほうきを手に持とう！,broom_kr.pn
action,水回り掃除のために|スポンジを手に持とう！,sponge_kr.png
action,床掃除をするために|フロアワイパーを|手に持とう！,mop.png
action,掃除する場所に行くために|立ち上がろう！,stand_up.png
action,食器を洗うために|蛇口を開けよう！,faucet.png
action,食器を片づけるために|戸棚を開けよう！,dish.png
action,片づけるために|洗濯した物の所へ行こう！,laundry.png
action,ゴミをまとめるために|ゴミ箱の所へ行こう！,garbage_bag.png
action,トイレ掃除をするために|トイレを済まそう！,toilet_kr.png
action,お風呂掃除をした後の|入浴を想像して|お風呂に向かおう！,bath.png
action,掃除したいものを|１ヶ所観察しよう！,kansatsu.png
action,床を観察しよう！,floor.png
action,棚を観察しよう！,shelf.png
action,窓サッシを観察しよう！,window.png
action,テレビ周辺を観察しよう！,tv.png
action,PC・デスク周辺を|観察しよう！,desk.png
action,目線より上にある家具を|観察しよう！,air_conditioner.png
action,押し入れ・クローゼットを|開けてみよう！,closet.png
action,玄関のどこか１ヶ所を|観察しよう！,entrance.png
action,トイレのどこか１ヶ所を|観察しよう！,toilet.png
action,洗面所のどこか１ヶ所を|観察しよう！,washroom.png
action,浴室のどこか１ヶ所を|観察しよう！,bath_2.png
action,キッチンのどこか１ヶ所を|観察しよう！,kitchen.png
action,排水口をどこか１ヶ所を|観察しよう！,kansatsu_2.png
action,三角コーナーの|ゴミを捨てるために|意を決する！,yaruki.png
action,掃除場所の近くに|掃除道具を設置しよう！,tools.png
